weeks,isotype,frequency
-5,IGHM,0.9166666666666666
-5,IGHG,0.05952380952380952
-5,IGHD,0.011904761904761904
-5,IGHA,0.005952380952380952
-5,UNK,0.005952380952380952
4,IGHG,0.7667830811020566
4,IGHA,0.18587504850601475
4,IGHM,0.041133100504462554
4,UNK,0.005626697710516104
4,IGHD,0.0005820721769499418
8,IGHG,0.8163034887659478
8,IGHA,0.16551879869030145
8,IGHM,0.011742124872981822
8,UNK,0.005419442249068533
8,IGHD,0.00101614542170035
16,IGHG,0.8618110236220472
16,IGHA,0.13293963254593175
16,IGHM,0.0030183727034120734
16,UNK,0.002099737532808399
16,IGHD,0.00013123359580052493
24,IGHG,0.8348245010323468
24,IGHA,0.1587520073411333
24,UNK,0.003670566643725625
24,IGHM,0.0027529249827942187
