cellid,Koff,1HD2-N276D
G002-119_2_16_Cg28v2_VRC01c_0548,1.49E-02,10
G002-119_2_16_Cg28v2_VRC01c_2068,1.21E-03,50
G002-136_2_16_Cg28v2_VRC01c_0563,6.00E-01,50
G002-136_2_16_Cg28v2_VRC01c_2110,6.00E-01,50
G002-145_2_16_Cg28v2_VRC01c_0509,8.46E-04,5.197
G002-145_2_16_Cg28v2_VRC01c_2025,2.43E-03,50
G002-230_2_16_Cg28v2_VRC01c_0539,1.38E-03,1.55
G002-230_2_16_Cg28v2_VRC01c_2042,6.00E-01,50
G002-293_2_16_Cg28v2_VRC01c_0536,6.59E-04,4.464
G002-293_2_16_Cg28v2_VRC01c_2073,9.61E-04,17.561
G002-341_2_16_Cg28v2_VRC01c_2022,2.00E-02,50
G002-341_2_16_Cg28v2_VRC01c_2078,4.14E-04,0.061
G002-480_2_16_Cg28v2_VRC01c_0546,2.24E-04,0.005
G002-480_2_16_Cg28v2_VRC01c_2104,2.01E-01,50
G002-493_2_16_Cg28v2_VRC01c_0553,7.56E-02,50
G002-577_2_16_Cg28v2_VRC01c_0512,7.48E-04,0.524
G002-577_2_16_Cg28v2_VRC01c_2017,5.44E-04,28.169
G002-620_2_16_Cg28v2_VRC01c_0567,6.00E-01,50
G002-630_2_16_Cg28v2_VRC01c_2015,4.66E-04,1.167
G002-820_2_16_Cg28v2_VRC01c_0520,4.05E-04,0.209
G002-820_2_16_Cg28v2_VRC01c_2024,1.48E-03,50
G002-855_2_16_Cg28v2_VRC01c_2020,3.60E-03,50
G002-855_2_16_Cg28v2_VRC01c_2026,9.74E-03,50
G002-943_2_16_Cg28v2_VRC01c_0516,2.77E-04,0.037
G002-943_2_16_Cg28v2_VRC01c_2012,4.03E-04,
G002-947_2_16_Cg28v2_VRC01c_0524,7.29E-04,50
G002-947_2_16_Cg28v2_VRC01c_2081,1.43E-02,50
G002-957_2_16_Cg28v2_VRC01c_2059,4.12E-03,50
G002-957_2_16_Cg28v2_VRC01c_2061,7.26E-04,50
G002-119_2_24_Cg28v2_VRC01c_0521,1.85E-03,50
G002-119_2_24_Cg28v2_VRC01c_2033,6.00E-01,50
G002-136_2_24_Cg28v2_VRC01c_0507,8.55E-04,3.414
G002-136_2_24_Cg28v2_VRC01c_2003,7.76E-04,4.256
G002-145_2_24_Cg28v2_VRC01c_0510,8.29E-04,15.387
G002-145_2_24_Cg28v2_VRC01c_2004,3.31E-04,0.003
G002-230_2_24_Cg28v2_VRC01c_0517,1.51E-03,50
G002-230_2_24_Cg28v2_VRC01c_2014,6.25E-04,0.512
G002-293_2_24_Cg28v2_VRC01c_0515,4.99E-04,0.159
G002-293_2_24_Cg28v2_VRC01c_2008,9.77E-04,40.971
G002-341_2_24_Cg28v2_VRC01c_2023,9.20E-05,0.018
G002-341_2_24_Cg28v2_VRC01c_2041,5.82E-04,0.061
G002-480_2_24_Cg28v2_VRC01c_0530,1.48E-03,28.067
G002-480_2_24_Cg28v2_VRC01c_2031,6.00E-01,50
G002-493_2_24_Cg28v2_VRC01c_0565,4.47E-01,50
G002-577_2_24_Cg28v2_VRC01c_0508,5.24E-04,0.072
G002-577_2_24_Cg28v2_VRC01c_2011,4.53E-04,0.033
G002-620_2_24_Cg28v2_VRC01c_0554,2.24E-03,44.894
G002-630_2_24_Cg28v2_VRC01c_2002,7.41E-04,2.366
G002-630_2_24_Cg28v2_VRC01c_2007,2.16E-03,50
G002-820_2_24_Cg28v2_VRC01c_0511,4.83E-04,0.017
G002-820_2_24_Cg28v2_VRC01c_2005,3.86E-04,
G002-831_2_24_Cg28v2_VRC01c_2000,2.66E-04,
G002-831_2_24_Cg28v2_VRC01c_2016,6.00E-01,50
G002-855_2_24_Cg28v2_VRC01c_2028,6.15E-04,0.224
G002-855_2_24_Cg28v2_VRC01c_2029,4.29E-04,0.107
G002-943_2_24_Cg28v2_VRC01c_0506,1.90E-04,0.021
G002-943_2_24_Cg28v2_VRC01c_2001,7.25E-05,0.008
G002-947_2_24_Cg28v2_VRC01c_0529,3.36E-03,50
G002-947_2_24_Cg28v2_VRC01c_2037,1.70E-03,50
G002-957_2_24_Cg28v2_VRC01c_2010,1.43E-03,
G002-957_2_24_Cg28v2_VRC01c_2013,5.02E-04,0.502
